nominal_formula,volume_per_atom,C11,C12,C44,B,Gv,GR,G,E,v,Hv,"AV,R",KIC,G/B,real_formula
CrHfMoNbTa,21.78219,570.023,104.462,144.449,259.649,179.7816,170.2976,175.0396,428.7689,0.224777,22.76233,0.027091,356.2693,0.674139,Cr7Hf6Mo6Nb7Ta6C32
CrHfMoNbTi,21.3225,520.093,110.497,143.724,247.029,168.1536,163.1904,165.672,406.2072,0.225938,21.76446,0.014979,336.8771,0.670658,Cr7Hf6Mo6Nb7Ti6C32
CrHfMoNbV,20.97094,479.865,134.451,131.807,249.589,148.167,145.5992,146.8831,368.3845,0.254006,17.22683,0.008741,317.9569,0.5885,Cr7Hf6Mo6Nb7V6C32
CrHfMoNbW,21.49031,495.609,141.059,133.436,259.2423,150.9716,148.0841,149.5279,376.2456,0.258112,17.05165,0.009655,328.2876,0.576788,Cr7Hf6Mo6Nb7W6C32
CrHfMoNbZr,22.455,503.782,91.949,136.886,229.2267,164.4982,158.0842,161.2912,391.9452,0.215024,22.55319,0.019883,322.9659,0.703632,Cr7Hf6Mo6Nb7Zr6C32
CrHfMoTaTi,21.35,536.44,112.57,150.771,253.86,175.2366,170.4473,172.8419,422.6131,0.222542,22.81533,0.013855,348.8896,0.680855,Cr7Hf6Mo6Ta7Ti6C32
CrHfMoTaV,21.00938,510.68,124.4,141.297,253.16,162.0342,158.2927,160.1634,396.809,0.238763,19.88598,0.01168,334.4887,0.632657,Cr7Hf6Mo6Ta7V6C32
CrHfMoTaW,21.49094,507.773,144.67,134.295,265.7043,153.1976,149.9024,151.55,382.0191,0.260373,16.997,0.010872,334.5953,0.570371,Cr7Hf6Mo6Ta7W6C32
CrHfMoTaZr,22.44531,500.483,113.485,142.078,242.4843,162.6464,158.9768,160.8116,395.0947,0.22844,21.04059,0.01141,331.6562,0.663183,Cr7Hf6Mo6Ta7Zr6C32
CrHfMoTiV,20.3575,525.457,70.5703,145.606,222.1992,178.3409,170.0857,174.2133,414.3506,0.189205,26.93622,0.023693,325.1117,0.784041,Cr7Hf6Mo6Ti7V6C32
CrHfMoTiW,21.00563,524.292,60.235,133.211,214.9207,172.738,160.5637,166.6508,397.2705,0.191925,25.77641,0.036526,314.3635,0.775406,Cr7Hf6Mo6Ti7W6C32
CrHfMoTiZr,21.90844,410.407,133.953,136.444,226.1043,137.1572,137.1517,137.1544,342.2588,0.247713,16.98599,0.0000202,294.5741,0.606598,Cr7Hf6Mo6Ti7Zr6C32
CrHfMoVW,20.47281,548.027,79.3633,130.146,235.5845,171.8203,158.2983,165.0593,401.4265,0.216007,22.81407,0.040961,326.1542,0.700637,Cr7Hf6Mo6V7W6C32
CrHfMoVZr,21.47469,452.282,112.559,135.803,225.8,149.4264,147.6445,148.5355,365.469,0.230241,19.70745,0.005998,305.3268,0.657819,Cr7Hf6Mo6V7Zr6C32
CrHfMoWZr,22.10156,492.633,117.617,136.515,242.6223,156.9122,153.1777,155.045,383.4543,0.23659,19.65694,0.012043,324.9112,0.639038,Cr7Hf6Mo6W7Zr6C32
CrHfNbTaTi,21.64688,544.272,107.604,156.654,253.16,181.326,176.6113,178.9686,434.5143,0.21394,24.40625,0.013172,355.3464,0.706939,Cr7Hf6Nb6Ta7Ti6C32
CrHfNbTaV,21.28281,604.522,41.969,148.259,229.4867,201.466,182.8468,192.1564,450.6797,0.17269,31.11356,0.048448,349.5782,0.837331,Cr7Hf6Nb6Ta7V6C32
CrHfNbTaW,21.76,523.768,131.456,143.232,262.2267,164.4016,160.56,162.4808,404.0002,0.243225,19.61923,0.011822,344.8916,0.61962,Cr7Hf6Nb6Ta7W6C32
CrHfNbTaZr,22.76094,485.189,116.649,146.746,239.4957,161.7556,159.7591,160.7573,394.0954,0.225746,21.3261,0.00621,330.3183,0.671233,Cr7Hf6Nb6Ta7Zr6C32
CrHfNbTiV,20.67625,405.094,144.543,157.315,231.3933,146.4992,145.2555,145.8774,361.6365,0.239523,18.53867,0.004263,304.379,0.63043,Cr7Hf6Nb6Ti7V6C32
CrHfNbTiW,21.20594,547.232,120.424,155.559,262.6933,178.697,174.4763,176.5867,432.785,0.225418,22.8303,0.011951,358.3272,0.672216,Cr7Hf6Nb6Ti7W6C32
CrHfNbTiZr,22.22125,487.862,104.369,148.711,232.2,165.9252,163.3784,164.6518,399.5224,0.213234,23.08701,0.007734,327.8505,0.709095,Cr7Hf6Nb6Ti7Zr6C32
CrHfNbVW,20.75781,431.827,155.28,145.741,247.4623,142.754,142.6593,142.7066,359.0927,0.25815,16.49367,0.000332,311.535,0.57668,Cr7Hf6Nb6V7W6C32
CrHfNbVZr,21.73469,529.769,65.5373,136.324,220.2812,174.6407,163.2771,168.9589,403.6699,0.19458,25.70862,0.033628,322.2836,0.767015,Cr7Hf6Nb6V7Zr6C32
CrHfNbWZr,22.40125,504.691,108.241,134.188,240.391,159.8028,154.1011,156.9519,386.6972,0.231897,20.31764,0.018164,326.1278,0.652903,Cr7Hf6Nb6W7Zr6C32
CrHfTaTiV,20.7175,513.677,122.945,156.67,253.189,172.1484,170.1506,171.1495,419.0305,0.224165,22.47239,0.005836,344.9847,0.675975,Cr7Hf6Ta6Ti7V6C32
CrHfTaTiW,21.20875,491.979,170.877,145.247,277.911,151.3686,151.0046,151.1866,383.9377,0.269748,16.07937,0.001204,341.0322,0.544011,Cr7Hf6Ta6Ti7W6C32
CrHfTaTiZr,22.21063,476.719,119.417,149.695,238.5177,161.2774,160.0729,160.6752,393.6358,0.224943,21.40535,0.003748,328.2173,0.673641,Cr7Hf6Ta6Ti7Zr6C32
CrHfTaVW,20.76,542.884,118.018,149.259,259.64,174.5286,169.411,171.9698,422.6064,0.228723,22.03213,0.014879,350.3078,0.662339,Cr7Hf6Ta6V7W6C32
CrHfTaVZr,21.73,498.383,110.582,138.709,239.849,160.7856,156.5309,158.6582,389.9842,0.229007,20.78031,0.013408,325.8694,0.661492,Cr7Hf6Ta6V7Zr6C32
CrHfTaWZr,22.3425,507.585,120.181,143.682,249.3157,163.69,160.2329,161.9614,399.3981,0.233004,20.65609,0.010673,337.2375,0.649624,Cr7Hf6Ta6W7Zr6C32
CrHfTiVW,20.25656,575.577,99.5247,150.65,258.2088,185.6005,176.5777,181.0891,440.3289,0.21578,24.38866,0.024912,357.0201,0.701328,Cr7Hf6Ti6V7W6C32
CrHfTiVZr,21.31938,448.648,103.062,141.353,218.2573,153.929,152.4483,153.1886,372.4326,0.215601,21.6832,0.004833,304.481,0.701872,Cr7Hf6Ti6V7Zr6C32
CrHfTiWZr,22.00656,479.467,106.5,143.129,230.8223,160.4708,157.8038,159.1373,388.199,0.219699,21.82781,0.00838,320.8364,0.689436,Cr7Hf6Ti6W7Zr6C32
CrHfVWZr,21.6025,488.313,116.657,137.438,240.5423,156.794,153.4182,155.1061,382.9971,0.234629,19.86476,0.010882,322.3499,0.644818,Cr7Hf6V6W7Zr6C32
CrMoNbTaTi,20.70719,580.568,137.296,161.174,285.0533,185.3588,180.9154,183.1371,452.5049,0.235427,22.25149,0.012131,378.621,0.642466,Cr7Mo6Nb6Ta7Ti6C32
CrMoNbTaV,20.38281,545.002,152.889,158.681,283.5933,173.6312,171.78,172.7056,430.6884,0.246886,20.08643,0.005359,365.7732,0.60899,Cr7Mo6Nb6Ta7V6C32
CrMoNbTaW,20.96094,462.514,206.183,136.648,291.6267,133.255,133.1237,133.1894,346.7759,0.301815,12.0483,0.000493,327.2529,0.456712,Cr7Mo6Nb6Ta7W6C32
CrMoNbTaZr,21.85938,470.912,152.624,145.059,258.72,150.693,150.3828,150.5379,378.2511,0.256332,17.30441,0.00103,329.9977,0.581857,Cr7Mo6Nb6Ta7Zr6C32
CrMoNbTiV,19.75219,525.343,150.975,168.046,275.7643,175.7012,175.2116,175.4564,434.2675,0.237537,21.34952,0.001395,361.6509,0.636255,Cr7Mo6Nb6Ti7V6C32
CrMoNbTiW,20.38656,546.869,148.009,152.479,280.9623,171.2594,168.3308,169.7951,423.9773,0.248497,19.67373,0.008624,361.0028,0.604334,Cr7Mo6Nb6Ti7W6C32
CrMoNbTiZr,21.25719,459.936,149.522,148.4,252.9933,151.1228,151.0499,151.0863,378.0104,0.250975,17.86995,0.000241,325.4004,0.597195,Cr7Mo6Nb6Ti7Zr6C32
CrMoNbVW,19.98344,559.179,123.914,137.065,269.0023,169.292,160.8895,165.0908,411.1605,0.245256,19.62699,0.025448,347.1505,0.613715,Cr7Mo6Nb6V7W6C32
CrMoNbVZr,20.82625,460.623,134.515,154.047,243.2177,157.6498,157.5277,157.5887,388.7952,0.233575,20.19972,0.000387,324.7347,0.647933,Cr7Mo6Nb6V7Zr6C32
CrMoNbWZr,21.58313,476.751,139.821,130.351,252.131,145.5966,143.3212,144.4589,363.8812,0.259463,16.51456,0.007876,318.4473,0.572952,Cr7Mo6Nb6W7Zr6C32
